Year,Wins,Losses,Ties,W-L%,Points,Pts0,Pt Diff,MoV,SoS,SRS,OSRS,DSRS
2014-12-31,0.0,1.0,0.0,0.0,20.0,23.0,-3.0,-3.0,3.0,0.0,0.0,0.0
2013-12-31,8.0,8.0,0.0,0.5,445.0,478.0,-33.0,-2.1,-2.1,-4.1,3.0,-7.1
2012-12-31,10.0,6.0,0.0,0.625,375.0,277.0,98.0,6.1,0.8,6.9,1.0,6.0
2011-12-31,8.0,8.0,0.0,0.5,353.0,341.0,12.0,0.8,0.9,1.7,-1.5,3.1
2010-12-31,11.0,5.0,0.0,0.688,334.0,286.0,48.0,3.0,1.1,4.1,-0.6,4.7
2009-12-31,7.0,9.0,0.0,0.438,327.0,375.0,-48.0,-3.0,-0.9,-3.9,-1.9,-2.0
2008-12-31,9.0,7.0,0.0,0.563,375.0,350.0,25.0,1.6,0.5,2.1,1.1,1.0
2007-12-31,7.0,9.0,0.0,0.438,334.0,348.0,-14.0,-0.9,2.1,1.2,-0.2,1.4
2006-12-31,13.0,3.0,0.0,0.813,427.0,255.0,172.0,10.8,-2.9,7.9,4.9,3.0
2005-12-31,11.0,5.0,0.0,0.688,260.0,202.0,58.0,3.6,-2.2,1.4,-5.2,6.6
2004-12-31,5.0,11.0,0.0,0.313,231.0,331.0,-100.0,-6.3,-2.0,-8.2,-8.5,0.3
2003-12-31,7.0,9.0,0.0,0.438,283.0,346.0,-63.0,-3.9,0.4,-3.5,-4.2,0.7
2002-12-31,4.0,12.0,0.0,0.25,281.0,379.0,-98.0,-6.1,0.9,-5.3,-4.4,-0.9
2001-12-31,13.0,3.0,0.0,0.813,338.0,203.0,135.0,8.4,-0.5,7.9,0.8,7.1
2000-12-31,5.0,11.0,0.0,0.313,216.0,355.0,-139.0,-8.7,2.4,-6.3,-6.4,0.1
1999-12-31,6.0,10.0,0.0,0.375,272.0,341.0,-69.0,-4.3,2.3,-2.0,-3.0,1.0
1998-12-31,4.0,12.0,0.0,0.25,276.0,368.0,-92.0,-5.8,2.0,-3.7,-3.4,-0.3
1997-12-31,4.0,12.0,0.0,0.25,263.0,421.0,-158.0,-9.9,1.4,-8.5,-3.1,-5.3
1996-12-31,7.0,9.0,0.0,0.438,283.0,305.0,-22.0,-1.4,1.1,-0.2,-1.4,1.2
1995-12-31,9.0,7.0,0.0,0.563,392.0,360.0,32.0,2.0,0.3,2.3,3.1,-0.8
1994-12-31,9.0,7.0,0.0,0.563,271.0,307.0,-36.0,-2.3,0.3,-1.9,-3.2,1.3
1993-12-31,7.0,9.0,0.0,0.438,234.0,230.0,4.0,0.3,-0.5,-0.2,-4.6,4.3
1992-12-31,5.0,11.0,0.0,0.313,295.0,361.0,-66.0,-4.1,0.6,-3.5,-0.2,-3.3
1991-12-31,11.0,5.0,0.0,0.688,299.0,269.0,30.0,1.9,-1.0,0.8,-1.2,2.0
1990-12-31,11.0,5.0,0.0,0.688,348.0,280.0,68.0,4.3,-0.8,3.4,0.1,3.3
1989-12-31,6.0,10.0,0.0,0.375,358.0,377.0,-19.0,-1.2,1.2,-0.0,1.8,-1.8
1988-12-31,12.0,4.0,0.0,0.75,312.0,215.0,97.0,6.1,0.5,6.6,-0.0,6.6
1987-12-31,11.0,4.0,0.0,0.733,356.0,282.0,74.0,4.9,-1.0,3.8,1.5,2.3
1986-12-31,14.0,2.0,0.0,0.875,352.0,187.0,165.0,10.3,-2.7,7.6,-0.1,7.7
1985-12-31,15.0,1.0,0.0,0.938,456.0,198.0,258.0,16.1,-0.2,15.9,6.5,9.4
1984-12-31,10.0,6.0,0.0,0.625,325.0,248.0,77.0,4.8,-0.1,4.7,-1.7,6.4
1983-12-31,8.0,8.0,0.0,0.5,311.0,301.0,10.0,0.6,-1.7,-1.1,-2.5,1.5
1982-12-31,3.0,6.0,0.0,0.333,141.0,174.0,-33.0,-3.7,-1.8,-5.4,-4.2,-1.2
1981-12-31,6.0,10.0,0.0,0.375,253.0,324.0,-71.0,-4.4,1.6,-2.9,-4.4,1.5
1980-12-31,7.0,9.0,0.0,0.438,304.0,264.0,40.0,2.5,-1.1,1.4,-1.2,2.6
1979-12-31,10.0,6.0,0.0,0.625,306.0,249.0,57.0,3.6,-3.6,-0.0,-2.2,2.1
1978-12-31,7.0,9.0,0.0,0.438,253.0,274.0,-21.0,-1.3,-1.1,-2.4,-2.7,0.3
1977-12-31,9.0,5.0,0.0,0.643,255.0,253.0,2.0,0.1,-3.7,-3.6,0.0,-3.6
1976-12-31,7.0,7.0,0.0,0.5,253.0,216.0,37.0,2.6,1.9,4.6,0.3,4.2
1975-12-31,4.0,10.0,0.0,0.286,191.0,379.0,-188.0,-13.4,1.9,-11.5,-4.9,-6.6
1974-12-31,4.0,10.0,0.0,0.286,152.0,279.0,-127.0,-9.1,-1.2,-10.3,-7.4,-2.9
1973-12-31,3.0,11.0,0.0,0.214,195.0,334.0,-139.0,-9.9,1.1,-8.8,-4.4,-4.4
1972-12-31,4.0,9.0,1.0,0.321,225.0,275.0,-50.0,-3.6,2.2,-1.3,-2.8,1.5
1971-12-31,6.0,8.0,0.0,0.429,185.0,276.0,-91.0,-6.5,3.1,-3.4,-4.4,1.1
1970-12-31,6.0,8.0,0.0,0.429,256.0,261.0,-5.0,-0.4,2.6,2.2,0.4,1.8
1969-12-31,1.0,13.0,0.0,0.071,210.0,339.0,-129.0,-9.2,3.4,-5.9,-3.2,-2.6
1968-12-31,7.0,7.0,0.0,0.5,250.0,333.0,-83.0,-5.9,0.9,-5.0,-1.1,-3.9
1967-12-31,7.0,6.0,1.0,0.538,239.0,218.0,21.0,1.5,1.5,3.0,-3.6,6.6
1966-12-31,5.0,7.0,2.0,0.417,234.0,272.0,-38.0,-2.7,2.5,-0.3,-2.6,2.3
